139442p0,safe,0.009,6,2,0
139442p1,unsafe,0.202,2,1,4
139443p0,safe,0.012,6,2,0
139443p5,unsafe,0.371,2,1,4
139444p0,safe,0.016,6,2,0
139444p22,unsafe,0.689,3,1,5
139452p0,safe,0.012,6,2,0
139453p0,safe,0.018,6,2,0
139454p0,safe,0.024,6,2,0
139462p0,safe,0.020,6,2,0
139463p0,safe,0.027,6,2,0
139464p0,safe,0.037,6,2,0
6s0,Unknow,,,,0
6s100,Unknow,,,,0
6s102,Unknow,,,,0
6s105,Unknow,,,,0
6s108,safe,49.934,37384,9,0
6s109,safe,611.348,1976774,33,0
6s10,Unknow,,,,0
6s119,Unknow,,,,0
6s120,safe,3.760,3129,7,0
6s122,unsafe,663.015,3871667,131,204
6s128,Unknow,,,,0
6s12,Unknow,,,,0
6s130,Unknow,,,,0
6s131,Unknow,,,,0
6s134,Unknow,,,,0
6s13,Unknow,,,,0
6s145,Unknow,,,,0
6s147,Unknow,,,,0
6s148,Unknow,,,,0
6s149,Unknow,,,,0
6s151,Unknow,,,,0
6s158,Unknow,,,,0
6s159,safe,5.671,67294,86,0
6s160,Unknow,,,,0
6s161,Unknow,,,,0
6s163,Unknow,,,,0
6s164,safe,28.493,195203,27,0
6s16,Unknow,,,,0
6s171,Unknow,,,,0
6s173,safe,184.093,327426,34,0
6s177,Unknow,,,,0
6s179,Unknow,,,,0
6s183,safe,327.517,347251,13,0
6s184,Unknow,,,,0
6s185,Unknow,,,,0
6s186,Unknow,,,,0
6s187,Unknow,,,,0
6s188,Unknow,,,,0
6s190,Unknow,,,,0
6s191,Unknow,,,,0
6s194,Unknow,,,,0
6s195,Unknow,,,,0
6s198,Unknow,,,,0
6s202b00,safe,6.327,6,2,0
6s202b41,safe,5.985,6,2,0
6s203b41,safe,5.522,6,2,0
6s204b16,safe,3.926,8160,10,0
6s204b19,safe,3.658,1183,6,0
6s205b20,safe,5.959,6,2,0
6s206rb025,safe,0.555,6,2,0
6s206rb103,safe,0.588,6,2,0
6s207rb28,unsafe,28.034,5947,1,8
6s209b0,safe,0.076,6,2,0
6s20,Unknow,,,,0
6s210b037,unsafe,0.390,228,2,9
6s215rb0,unsafe,1.596,5603,2,8
6s216rb0,unsafe,9.899,46027,8,14
6s218b2950,Unknow,,,,0
6s221rb14,safe,1.147,6,2,0
6s22,Unknow,,,,0
6s23,Unknow,,,,0
6s24,Unknow,,,,0
6s266rb2,Unknow,,,,0
6s267rb3,Unknow,,,,0
6s268r,Unknow,,,,0
6s269r,Unknow,,,,0
6s271rb045,safe,40.606,47692,14,0
6s271rb079,safe,8.133,6,2,0
6s273b37,safe,1.685,2257,14,0
6s274r,Unknow,,,,0
6s275rb318,safe,0.230,2134,5,0
6s276rb342,safe,0.206,1749,7,0
6s277rb292,safe,0.511,1680,7,0
6s279r,Unknow,,,,0
6s280r,Unknow,,,,0
6s281b35,Unknow,,,,0
6s284rb1,Unknow,,,,0
6s288r,safe,57.157,57143,14,0
6s290,Unknow,,,,0
6s292rb037,Unknow,,,,0
6s299b685,Unknow,,,,0
6s29,Unknow,,,,0
6s301rb106,Unknow,,,,0
6s306rb03,safe,0.129,6,2,0
6s307rb09,safe,0.137,6,2,0
6s309b034,Unknow,,,,0
6s309b046,Unknow,,,,0
6s310r,safe,1728.629,2485424,27,0
6s316b421,Unknow,,,,0
6s316b460,Unknow,,,,0
6s317b14,safe,5.486,20385,7,0
6s319r,Unknow,,,,0
6s31,Unknow,,,,0
6s320rb0,Unknow,,,,0
6s320rb1,Unknow,,,,0
6s322rb646,Unknow,,,,0
6s325rb072,safe,0.048,186,3,0
6s326rb08,safe,0.056,6,2,0
6s329rb19,Unknow,,,,0
6s329rb20,Unknow,,,,0
6s339rb19,Unknow,,,,0
6s339rb22,Unknow,,,,0
6s33,Unknow,,,,0
6s340rb27,Unknow,,,,0
6s340rb63,Unknow,,,,0
6s341r,Unknow,,,,0
6s342rb122,Unknow,,,,0
6s342rb131,Unknow,,,,0
6s343b08,safe,383.678,606546,25,0
6s343b31,Unknow,,,,0
6s344rb054,safe,0.202,6,2,0
6s344rb150,safe,0.203,6,2,0
6s348b53,Unknow,,,,0
6s350rb35,unsafe,105.915,5,1,7
6s350rb46,unsafe,136.148,2628,2,9
6s351rb02,Unknow,,,,0
6s351rb15,Unknow,,,,0
6s355rb08740,safe,1.707,6,2,0
6s355rb11080,safe,1.573,6,2,0
6s357r,Unknow,,,,0
6s359r,Unknow,,,,0
6s35,Unknow,,,,0
6s362rb0,Unknow,,,,0
6s362rb1,safe,0.449,199,7,0
6s365r,Unknow,,,,0
6s366r,Unknow,,,,0
6s367r,Unknow,,,,0
6s36,Unknow,,,,0
6s372rb26,safe,0.491,1468,11,0
6s374b029,unsafe,595.317,297413,4,11
6s374b114,safe,1.188,827,4,0
6s376r,Unknow,,,,0
6s377r,Unknow,,,,0
6s37,Unknow,,,,0
6s380b129,safe,0.247,6,2,0
6s380b511,unsafe,1.879,26255,12,19
6s382r,Unknow,,,,0
6s384rb024,safe,0.290,6,2,0
6s385rb444,safe,0.605,6,2,0
6s387rb181,Unknow,,,,0
6s387rb291,Unknow,,,,0
6s389b02,unsafe,0.147,,1,0
6s38,Unknow,,,,0
6s391rb379,safe,0.451,185,4,0
6s392r,Unknow,,,,0
6s393r,Unknow,,,,0
6s394r,Unknow,,,,0
6s398b09,Unknow,,,,0
6s398b16,Unknow,,,,0
6s399b02,Unknow,,,,0
6s399b03,Unknow,,,,0
6s39,Unknow,,,,0
6s400rb07819,safe,1.360,6,2,0
6s401rb051,Unknow,,,,0
6s402rb0342,Unknow,,,,0
6s403rb1342,safe,2.616,6,2,0
6s404rb1,safe,154.997,68745,14,0
6s404rb4,safe,727.884,233621,20,0
6s405rb611,safe,7.840,6,2,0
6s406rb067,safe,9.170,8473,8,0
6s406rb111,Unknow,,,,0
6s407rb296,safe,253.294,202534,26,0
6s410rb043,safe,12.745,3047,3,0
6s413b398,Unknow,,,,0
6s41,Unknow,,,,0
6s421rb083,safe,2.088,1205,3,0
6s428rb098,Unknow,,,,0
6s42,Unknow,,,,0
6s43,safe,32.354,130628,15,0
6s44,Unknow,,,,0
6s45,Unknow,,,,0
6s48p1,Unknow,,,,0
6s4,Unknow,,,,0
6s514r,Unknow,,,,0
6s515rb1,safe,0.046,374,5,0
6s516r,Unknow,,,,0
6s517rb0,Unknow,,,,0
6s52,Unknow,,,,0
6s54,Unknow,,,,0
6s7,Unknow,,,,0
abp4p2ff,unsafe,1.652,11964,10,18
bc57sensorsp0,unsafe,159.461,869931,81,117
bc57sensorsp1neg,unsafe,194.792,1027101,65,117
bc57sensorsp1,unsafe,118.275,817633,75,117
bc57sensorsp2,unsafe,76.200,510242,74,106
beemadd4b1,unsafe,563.417,1842367,5,21
beemandrsn4b1,safe,1696.311,1814728,12,0
beemandrsn6b1,Unknow,,,,0
beembkry8b1,Unknow,,,,0
beembrptwo3b2,Unknow,,,,0
beembrptwo6b1,unsafe,9.823,34446,17,179
beemcmbrdg1b1,Unknow,,,,0
beemcmbrdg1f1,Unknow,,,,0
beemcmbrdg7f2,Unknow,,,,0
beemcycschd3b1,safe,2.087,10702,13,0
beemelev1f1,safe,0.426,1604,6,0
beemelev2f1,safe,0.275,1194,6,0
beemextnc1b1,Unknow,,,,0
beemextnc1f1,Unknow,,,,0
beemextnc3f1,Unknow,,,,0
beemfrogs4f1,unsafe,304.725,1001046,10,51
beemfwt2b2,Unknow,,,,0
beemfwt3f3,safe,2.789,5617,11,0
beemfwt4b1,Unknow,,,,0
beemfwt5b1,Unknow,,,,0
beemfwt5b3,Unknow,,,,0
beemhanoi4b1,Unknow,,,,0
beemkrebs4b1,Unknow,,,,0
beemlann2f1,safe,15.293,169307,32,0
beemldfilt3f1,Unknow,,,,0
beemldfilt7b1,Unknow,,,,0
beemlifts2b1,Unknow,,,,0
beemlifts3b1,Unknow,,,,0
beemlmprt8f1,unsafe,8.888,66781,8,38
beemloyd3b1,Unknow,,,,0
beemlup1b1,safe,0.310,33,2,0
beemmcs6f1,safe,10.824,49369,21,0
beemmsmie1f1,safe,3.429,30018,15,0
beemndhm4b3,Unknow,,,,0
beempgmprot1f2,Unknow,,,,0
beempgsol4f1,Unknow,,,,0
beempgsol5b1,unsafe,116.095,3,1,5
beemprdcell2f1,unsafe,156.750,1704410,30,115
beemptrsn1b1,safe,61.833,325811,13,0
beemptrsn4b1,Unknow,,,,0
beemptrsn7f1,Unknow,,,,0
beemrshr4b1,Unknow,,,,0
beemrwtrs2b1,Unknow,,,,0
